timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723282875727,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282875672,453,HTTP Request,200,OK,Thread Group 1-2,text,false,,1228,119,3,3,https://www.boredapi.com,453,0,303
1723282876126,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282875677,457,HTTP Request,200,OK,Thread Group 1-3,text,false,,1228,119,3,3,https://www.boredapi.com,457,0,306
1723282876134,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-3,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282875727,482,HTTP Request,200,OK,Thread Group 1-1,text,false,,1228,119,3,3,https://www.boredapi.com,482,0,318
1723282876209,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282876126,450,HTTP Request,200,OK,Thread Group 1-2,text,false,,1228,119,3,3,https://www.boredapi.com,450,0,297
1723282876577,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282876135,478,HTTP Request,200,OK,Thread Group 1-3,text,false,,1228,119,3,3,https://www.boredapi.com,478,0,320
1723282876614,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-3,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282876210,459,HTTP Request,200,OK,Thread Group 1-1,text,false,,1228,119,3,3,https://www.boredapi.com,459,0,307
1723282876669,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282876577,478,HTTP Request,200,OK,Thread Group 1-2,text,false,,1224,119,3,3,https://www.boredapi.com,478,0,317
1723282877055,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282876614,474,HTTP Request,200,OK,Thread Group 1-3,text,false,,1224,119,3,3,https://www.boredapi.com,474,0,315
1723282877088,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-3,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282876670,447,HTTP Request,200,OK,Thread Group 1-1,text,false,,1224,119,3,3,https://www.boredapi.com,447,0,298
1723282877117,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282877056,454,HTTP Request,200,OK,Thread Group 1-2,text,false,,1224,119,3,3,https://www.boredapi.com,454,0,304
1723282877510,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282877089,458,HTTP Request,200,OK,Thread Group 1-3,text,false,,1224,119,3,3,https://www.boredapi.com,458,0,302
1723282877547,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-3,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282877117,460,HTTP Request,200,OK,Thread Group 1-1,text,false,,1224,119,3,3,https://www.boredapi.com,460,0,309
1723282877577,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282877511,451,HTTP Request,200,OK,Thread Group 1-2,text,false,,1224,119,3,3,https://www.boredapi.com,451,0,301
